Index,Question,A,B,C,D,answer
52,"3, 8, 15, 24, 34, 48, 63 (Find the worng number)",15,24,34,48,3
53,"Pointing out to a lady, a girl said, ""She is the daughter-in-law of the grandmother of my father's only son."" How is the lady related to the girl ?",Sister-in-law,Mother,Aunt,Can't be determined,4
54,Lethargic : Vital :: Trite : ?,Unique,Slug,Lazy,Skinny,1
55,If Z= 2197 and R= 729. How would J be written in that code?,216,124,512,125,4
56,A E C B % 7 D $ E B 5 C ? 3 D E 9 @ 2 #  (If all the vowels are dropped from the above arrangement which of the following will be the twelth from the left end of the above arrangement?),3,@,D,9,3
57,"A, Z, Y, B, C, ?, W, D",E,Z,X,F,3
58,Sam ranked 9th from the top and 38th from the bottom in a class. How many students are there in the class ?,45,46,47,48,2
59,a) Mahinder  b) Mahender  c) Mahindra  d) Mahendra  e) Mohinder (last in telephone dictionary),Mahinder,Mahindra,Mohinder,Mahender,3
60,"Introducing a man, a woman said, 'He is the only son of my mother's mother."" How is the woman related to the man ?",Mother,Aunt,Sister,Niece,4
61,Extreme old age when a man behaves like a fool,Superannuation,Imbecility,Senility,Dotage,4
62,Rahul put his timepiece on the table in such a way that at 6 P.M. hour hand points to North. In which direction the minute hand will point at 9.15 P.M. ?,South-East,South,North,West,4
63,"K is 40 m South-West of L. If M is 40 m South-East of L, then M is in which direction of K?",East,West,North-East,South,1
64,"625, 625, 600, ?, 475, 875",545,700,675,725,2
65,"If air is called green , green is called blue, blue is called sky, sky is called yellow, yellow is called water and water is called pink, then what is the color of clear sky ?",Blue,Sky,Yellow,Water,2
66,Find out the two signs to be interchanged for making following equation correct (5 + 3 x 8 - 12 / 4 =3),+ and -,- and /,#NAME?,+ and /,2
67,Fumble is to Finesse as Malign is to,Slander,Extol,Criticize,Assurance,2
68,"A is father of C and D is son of B. E is brother of A. If C is sister of D, how is B related to E ? ",Daughter,Brother,Husband, Sister-in-law,4
69,Choose the Antonym of the given word from the following options 'Jettison',Salvage,Submerge,Repent,Descend,1
70,Exhibit : display :: send : ?,Stamp,Receive,Show,Emit,4
71,Choose the word which gives similar meaning to the given word from the following options. (Autopsy),Diagnosis,Rebuild,Manufacture,Postmortem,4
72,"If in a code language, COULD is written as BNTKC and MARGIN is written as LZQFHM, how will MOULDING be written in that code ?",CHMFINTK,LNKTCHMF,LNTKCHMF,NITKHCMF,3
73,"A man said to a lady, ""Your mother's husband's sister is my aunt!! How is the lady related to the man ? ",Daughter,Grand daughter,Mother,Sister,4
74,6 : 18 :: 4 : ?,14,6,16,8,4
75,"A is the brother of B. B is the brother of C. D is the father of A. Based on these three statements, which of the following statements cannot be definitely true ?",B is the brother of A.,B is the son of D.,A is the brother of C.,C is the brother of A.,4
76,A tailor had a number of shirt pieces to cut from a roll of fabric. He cut each roll of equal length into 10 pieces. He cut at the rate of 45 cuts a minute. How many rolls would be cut in 24 minutes ?,32 rolls,54 rolls,108 rolls,120 rolls,4
77,a person who abstains from alcoholic drinks,Teetotaller,Heretic,Angler,Drunkard,1
78,"8, 15, 28, 53, ?, 199",101,102,103,104,2
79,Seismography : Earthquake :: Taseometer : ?,Landslides,Strains,Resistances,Volcanoes,2
80,"A man is facing north-west. He turns 90o90o in the clockwise direction, then 180o180o in the anticlockwise direction and then another 90o90o in the same direction. Which direction is he facing now?",South,South-west,South-east,East,3
81,Melt : Liquid :: Freeze : ?,Condense,Solid,Ice,Crystal,2
82,"2, 3, 10, 39, ?, 885",128,156,172,189,3
83,"Today is Varun's birthday. One year, from today he will be twice as old as he was 12 years ago. How old is Varun today ?",20 years,22 years,25 years,27 years,3
84,"If the first five letters of English alphabet are reversed , so are the next five and so on and last letter is left unchanged then what will be 2nd letter to the left of 17th letter from the right?",S,G,H,R,3
85,"N , O , M , P , L , Q , K , R , ?",S,I,J,T,3
86,If HAT is coded as 'jcv' then what will GUN be coded as?,iwp,ikm,kip,klp,1
87,Grain : Stock :: Stick : ?,Bundle,String,Collection,Heap,1
88,"Rita told Mani, ""The girl I met yesterday at the beach was the youngest daughter of the brother-in-law of my friend's mother."" How is the girl related to Rita's friend ?",Cousin,Daughter,Niece,Friend,1
89,"Kolkata, Mumbai, Mangalore (choose a similar word)",Hyderabad,Delhi,Cochin,Jaipur,3
90,"Pointing to a woman, a man said, ""Her father is the only son of my father."" How is the man related to the woman?",Father,Brother,Uncle,Brother-in-law,2
91,"If MADRAS can be written as NBESBT, how can BOMBAY be written in that code ?",CPNCBX,CPNCBZ,CPOCBZ,CQOCBZ,2
92,"Pointing to a photograph, a man said, ""I have no brother or sister but that man?s father is my father?s son."" Whose photograph was it?",His uncle's,His nephew's,His son's,His Cousin's,3
93,How many meaningful English words can be formed with the letters ESRO using each letter only once in each word?,None,One,Two,Three,4
94,"One morning after sunrise, Suresh was standing facing a pole. The shadow of the pole fell exactly to his right. To which direction was he facing?",East,West,South,Data is inadequate,3
95,Yard is to Fence as Cell is to,Mitochondria,Cytoplasm,Membrane,Nucleus,3
96,"Acording to a military code, SYSTEM is SYSMET and NEARER is AENRER. What is the code for FRACTION ?",CARFTINO,CARFTION,ARFCNOIT,CARFNOIT,4
97,The dog was sitting _______ the table waiting _______ catch the ball that was thrown ________ him _________ his master.,"below, for, to, by","under, for, towards, by","up, to, towards, by","under, to, towards, by",4
98,Transition : Change :: Immobility :  ?,Stillness,Liveliness,Action,Busyness,1
99,"7, 28, 63, 124, 215, 342, 511 (find the wrong number)",28,124,215,342,1
100,Essential Part for the given word from the following options. (Respiration),Oxygen,Carbon monoxide,Mouth,Circulation,1
