Index,Question,A,B,C,D,answer
70,This is the only film in Bollywood where Aamir Khan & Shah Rukh Khan shared a frame. Name the film.,Trimurti,Darr,Aashiq Awaara,Pehla Nasha,4
71,Nawazuddin Siddiqui made his debut with a side role in 'Sarfarosh'. But he shot this one earlier which was also released in the same year.,Shool,Kaun,Vaastav,Dillagi,1
72,The album being referred to here is a best-selling pop album from the year 1981 that has charted in top lists in approx 14 countries. ,Dumadam Mast Kalandar,Jhoom Barabar Jhoom,Maeri,Disco Deewane,4
73,"The Elvis Presley song was a huge inspiration for the Bollywood song named ""Kaun hai jo sapnon me aaya"". Which Elvis song is being referred to here?",Love Me Tender,Don't be cruel,Marguerita,If I Can Dream,2
74,The neo-noir movie paid tribute to Vijay Anand's influence on the Hindi noir/thriller genre. The movie also paid a tribute to writer James Hadley Chase in its opening credit. Which film is being referred to here?,Omkara,Kaminey,Johnny Gaddar ,LSD,3
75,Which is a spy film starring Shah Rukh Khan?,Baadshah,Baazigar,Yes Boss,Darr,1
76,"Which movie is this dialogue from ""Aap purush hi nahi, mahapurush hain""?",One 2 Ka 4,Khiladi,Andaz Apna Apna,Aashiqui ,3
77,Which of these is not a real movie title?,Umar 55 Ki Dil Bachpan Ka,Aar Ya Paar,Ab To Aaja Saajan Mere,Kitne Aadmi The,4
78,"What's the name of the character who offers this exceptionally flawed advice, ""Dosti ka ek usool hai madam, no sorry, no thank you.""",Rahul,Raj,Prem,Aditya,3
79,Which of these iconic duos were not siblings in the film?,Karan & Arjun ,Amar & Prem ,Ram & Lakhan,Vicky & Prem,2
80,Who is Basanti not allowed to dance in front of?,Cats,Dogs,Her parents,Basanti can't dance. ,2
81,"Which of these films did not star Johnny Lever? Yes, he was everywhere in the 90s. ",Khoobsurat,Roop Ki Rani Choron Ka Raja,Main Khiladi Tu Anari,Dil,4
82,"Which Bollywood movie is this iconic song - ""Mr. Lova Lova"" from?",Ishq,Biwi No 1,Mann,Barsaat,1
83,Rahul kiski dukaan hadapna chahta tha?,Ruksaar,Tina,Anjali,Pooja,3
84,Pritam Chakraborty signed his first song in Bollywood along with a friend. The friend is?,Abhijit Bhattacharya,Jeet Ganguli,Shaan,Kumar Sanu,2
85,Who was known as the King of Bollywood Music,Kishore Kumar,Sachin Dev Burman,Rahul Dev Burman,Muhammad Rafi,3
86,Which state has signed Bollywood actor Sanjay Dutt as the brand ambassador for its Golden jubilee celebrations?,Sikkim,Arunachal Pradesh,Assam,Gujarat,2
87,Which Bollywood actor was recently named in the WEF?s Young Global Leaders (YGLs) list?,Priyanka Chopra,Deepika Padukone,Vidya Balan,Nawazuddin Siddique,2
88,Which Bollywood personality has launched an online platform called ?Pravasi Rojgar? to help migrants find job opportunities?,Nana Patekar,Nawazuddin Siddiqui,Sonu Sood,Amitabh Bachchan,3
89,"What is the name of the National-award winning Bollywood choreographer, who recently passed away?",Saroj Khan,Protik Prakash,Tridib Ghosh,Geetha Nagabhushan,1
90,Which Bollywood personality was named by NITI Aayog to promote the Women Entrepreneurship platform (WEP)?,Salman Khan,Akshay Kumar,Sushant Singh Rajput,Vidya Balan,3
91,"The Versatile Bollywood actor Irrfan Khan, who recently passed away, had won National award for which movie?",Lunch Box,Paan Singh Tomar,Life of Pi,Haidar,2
92,Which Bollywood celebrity has been appointed as the first ever brand ambassador of IDFC FIRST Bank?,Ranveer Singh,Amitabh Bachchan,Shah Rukh Khan,Salman Khan,2
93,"As of 2020, which is the only Bollywood movie to win 13 Filmfare Awards?",Uri: The Surgical Strike,Article 15,Saand Ki Aankh,Gully Boy,4
94,National Anti-Doping Agency (NADA) has selected which Bollywood actor as its brand ambassador?,Akshay Kumar,Salman Khan,Suniel Shetty,Imran Hasmi,3
95,Which movie has become the first Bollywood film to go plastic-free?,War,Dream Girl,Mission Mangal,Coolie No. 1,4
96,Which Bollywood actor to be felicitated with ?Excellence in Cinema? award by Victorian Government?,Priyanka Chopra,Shekhar Kapoor,Shahrukh Khan,Deepika Padukone,3
97,Which Bollywood personality is set to be honoured with honorary doctorate by Melbourne?s La Trobe University?,Priyanka Chopra,Shah Rukh Khan,Madhuri Dixit,Aishwarya Rai Bachchan,2
98,Which Bollywood personality has been felicitated by Council of European Chambers of Commerce (CEUCC) for promoting Children Rights?,Aamir Khan,Akshay Kumar,Anil Kapoor,Ajay Devgn,3
99,Which Bollywood personality has been bestowed with Smita Patil Memorial Award 2018?,Katrina Kaif,Aishwarya Rai Bachchan,Priyanka Chopra,Anushka Sharma,4
100,Which Bollywood personality has been honoured with the Meryl Streep Award for Excellence?,Madhuri Dixit,Aishwarya Rai Bachchan,Priyanka Chopra,Anushka Sharma,2
